id,retweet_count,favorite_count
783391753726550016,5579,17136
783347506784731136,5647,0
783334639985389568,11886,29569
783085703974514689,2237,8282
782969140009107456,7505,24471
782747134529531904,1435,7586
782722598790725632,5486,17530
782598640137187329,1907,7914
782305867769217024,5667,16888
782021823840026624,6311,0
781955203444699136,3429,11286
781661882474196992,2764,10579
781655249211752448,1144,4039
781524693396357120,5649,21031
781308096455073793,2589,7234
781251288990355457,2113,8555
781163403222056960,2783,9946
780931614150983680,7432,21935
780858289093574656,2043,7291
780800785462489090,1324,5566
780601303617732608,3396,12278
780543529827336192,1769,6390
780496263422808064,3760,0
780476555013349377,115,0
780459368902959104,1094,5365
780192070812196864,2279,8826
780092040432480260,2334,0
780074436359819264,5054,12332
779834332596887552,7157,19172
779377524342161408,3156,8909
779124354206535695,18600,0
779056095788752897,4597,14955
778990705243029504,7315,20232
778774459159379968,10049,0
778764940568104960,366,876
778748913645780993,1334,6970
778650543019483137,1528,5843
778624900596654080,1022,4700
778408200802557953,4395,13789
778396591732486144,12418,0
778383385161035776,1119,5910
778286810187399168,3343,10512
778039087836069888,2686,8605
778027034220126208,1640,6622
777953400541634568,3573,0
777885040357281792,1649,6421
777684233540206592,2977,11357
777641927919427584,4292,0
777621514455814149,2530,8854
777189768882946048,4359,14429
776819012571455488,13880,0
776813020089548800,1229,4939
776477788987613185,2823,8927
776249906839351296,9263,0
776218204058357768,16070,30248
776201521193218049,2543,9721
776113305656188928,4419,11896
776088319444877312,153,1859
775898661951791106,16741,0
775842724423557120,2692,11845
775733305207554048,4035,14014
775729183532220416,4651,13133
775364825476165632,3007,7480
775350846108426240,3954,10283
775085132600442880,4802,15717
774757898236878852,1808,8701
774639387460112384,1755,6805
774314403806253056,5595,21994
773985732834758656,3921,10829
773922284943896577,1767,6459
773704687002451968,1649,6675
773670353721753600,1327,5401
773547596996571136,6248,22337
773336787167145985,5149,0
773308824254029826,7555,23546
773247561583001600,3287,9552
773191612633579521,4194,10089
772877495989305348,3927,8653
772826264096874500,2373,8147
772615324260794368,3422,0
772581559778025472,1715,6569
772193107915964416,1409,6106
772152991789019136,1144,3839
772117678702071809,750,3810
772114945936949249,473,2752
772102971039580160,951,4033
771908950375665664,1929,6648
771770456517009408,3423,12126
771500966810099713,2636,8339
771380798096281600,5149,10579
771171053431250945,7557,0
771136648247640064,2965,9227
771102124360998913,1457,6291
771014301343748096,1675,6945
770787852854652928,1214,4968
770772759874076672,1430,5221
770655142660169732,1786,7400
770414278348247044,2122,6380
770293558247038976,1500,6299
770093767776997377,3091,0
770069151037685760,2320,7666
769940425801170949,9672,31635
769695466921623552,1696,6463
769335591808995329,7807,0
769212283578875904,1743,5442
768970937022709760,6583,14476
768909767477751808,2705,0
768855141948723200,899,4235
768609597686943744,1217,4163
768596291618299904,1293,5079
768554158521745409,5903,0
768473857036525572,3474,13735
768193404517830656,3573,10954
767884188863397888,1397,4783
767754930266464257,5443,16130
767500508068192258,2365,7553
767191397493538821,3799,12390
767122157629476866,2887,10246
766864461642756096,5687,0
766793450729734144,1366,5106
766714921925144576,382,2631
766693177336135680,803,4043
766423258543644672,1607,6039
766313316352462849,1909,6838
766078092750233600,2654,0
766069199026450432,859,4255
766008592277377025,503,3771
765719909049503744,2168,7276
765669560888528897,1236,5225
765395769549590528,3409,26775
765371061932261376,2189,7111
765222098633691136,3422,11706
764857477905154048,1790,6489
764259802650378240,1512,6059
763956972077010945,55,762
763837565564780549,4191,12664
763183847194451968,1483,5417
763167063695355904,3046,0
763103485927849985,2311,7395
762699858130116608,3646,12221
762471784394268675,6462,11274
762464539388485633,4207,10354
762316489655476224,1131,4827
